datetime,Global Horiz,Temperature,Power,Voltage,Current
2005-01-02 09:30:00,558.0671,303.68,198.82376189958973,46.92414168098,5.356832372300627
2005-01-02 10:00:00,561.0973,304.38,199.92079294594987,46.926365007739996,5.38613405707024
2005-01-02 10:30:00,543.878,304.98,193.79038160815358,46.9270064164,5.220901199437725
2005-01-02 11:00:00,557.8729,305.45,198.7945455402448,46.929262291019995,5.3554607909830985
2005-01-02 11:30:00,543.8192,305.79,193.78727688401955,46.929351664959995,5.220556649889176
2005-01-02 12:00:00,520.3687,305.98,185.42392530521315,46.92840652306,4.995351695883836
2005-01-02 12:30:00,483.6529,306.04,172.32624219186562,46.92623805502,4.642712443094962
2005-01-02 13:00:00,438.6503,305.96,156.2727034653027,46.923134889139995,4.2104858613640905
2005-01-02 13:30:00,381.8421,305.75,136.01170847584947,46.91890152598,3.6649205762626567
2005-01-02 14:00:00,326.6562,305.4,116.33382741047734,46.91436566556,3.134990833727983
2005-01-02 14:30:00,268.2235,304.9,95.50444801814022,46.909187659299995,2.5739600016179747
2005-01-02 15:00:00,203.7835,304.26,72.54274362465286,46.903220387299996,1.9553631284560946
2005-01-02 15:30:00,139.4004,303.48,49.611263481323945,46.89685074552,1.3374350952527216
2005-01-02 16:00:00,76.762,302.34,27.3110202768405,46.8895484156,0.7363732128410839
2005-01-02 16:30:00,24.486,300.86,8.709220776954043,46.881921206799994,0.234860513736156
2005-01-02 17:00:00,1.4054,299.51,0.4997691365325162,46.87653366452,0.013478763398640759
2005-01-02 17:30:00,0.0,298.3,0.0,46.872935,0.0
2005-01-02 18:00:00,0.0,297.45,0.0,46.87047,0.0
2005-01-02 18:30:00,0.0,296.97,0.0,46.869077999999995,0.0
2005-01-02 19:00:00,0.0,296.54,0.0,46.867830999999995,0.0
2005-01-02 19:30:00,0.0,296.17,0.0,46.866758,0.0
2005-01-02 20:00:00,0.0,295.81,0.0,46.865714,0.0
2005-01-02 20:30:00,0.0,295.46,0.0,46.864698999999995,0.0
2005-01-02 21:00:00,0.0,295.13,0.0,46.863741999999995,0.0
2005-01-02 21:30:00,0.0,294.79,0.0,46.862756,0.0
2005-01-02 22:00:00,0.0,294.48,0.0,46.861857,0.0
2005-01-02 22:30:00,0.0,294.17,0.0,46.860958,0.0
2005-01-02 23:00:00,0.0,293.87,0.0,46.860088,0.0
2005-01-02 23:30:00,0.0,293.57,0.0,46.859218,0.0
2005-01-03 00:00:00,0.0,293.33,0.0,46.858522,0.0
2005-01-03 00:30:00,0.0,293.14,0.0,46.857971,0.0
2005-01-03 01:00:00,0.0,293.0,0.0,46.857564999999994,0.0
2005-01-03 01:30:00,0.0,292.91,0.0,46.857304,0.0
2005-01-03 02:00:00,0.0,292.75,0.0,46.85684,0.0
2005-01-03 02:30:00,0.0,292.53,0.0,46.856201999999996,0.0
2005-01-03 03:00:00,0.0,292.33,0.0,46.855622,0.0
2005-01-03 03:30:00,0.0008,292.16,0.00028424574512197223,46.855129051039995,7.66960400704e-06
2005-01-03 04:00:00,12.2984,292.81,4.370168607862459,46.85779863792,0.11791048302906817
2005-01-03 04:30:00,55.9552,294.27,19.88886048116589,46.864817941759995,0.5365362557404774
2005-01-03 05:00:00,119.4906,295.72,42.48583932695855,46.87307650028,1.145926730959372
2005-01-03 05:30:00,186.3492,297.14,66.27978880102626,46.88146007896,1.7873767079217469
2005-01-03 06:00:00,248.517,298.41,88.41791147729134,46.8891093846,2.3839897049021785
2005-01-03 06:30:00,315.8185,299.54,112.39601772711829,46.8966802203,3.030016063431864
2005-01-03 07:00:00,367.5487,300.65,130.83968694739403,46.903199607059996,3.5267374813905885
2005-01-03 07:30:00,415.603,301.73,147.98204581308494,46.9093974714,3.9882766837596986
2005-01-03 08:00:00,465.7059,302.76,165.86226211611788,46.915581036419994,4.469578734937743
2005-01-03 08:30:00,505.8673,303.73,180.203882082593,46.920956333739994,4.855493695744302
2005-01-03 09:00:00,532.7919999999999,304.61,189.82703219762973,46.9252261296,5.114318738627904
2005-01-03 09:30:00,551.5343,305.4,196.53158464953032,46.928712888339994,5.294559339762341
2005-01-03 10:00:00,554.3708,306.06,197.5585837333605,46.930807857039994,5.32198910533682
2005-01-03 10:30:00,526.191,306.6,187.51457009395742,46.9305759858,5.0514404936282915
2005-01-03 11:00:00,546.6152,307.0,194.81182312457824,46.93303904976,5.247745210205582
2005-01-03 11:30:00,529.6282,307.27,188.755484096517,46.93273827916,5.084635108924587
2005-01-03 12:00:00,469.2403,307.39,167.21067977601885,46.92923353114,4.504604418236585
2005-01-03 12:30:00,458.1412,307.38,163.25086328694,46.928496408559994,4.397997256588512
2005-01-03 13:00:00,439.6515,307.21,156.6520815999718,46.9268237657,4.2203757341509744
2005-01-03 13:30:00,398.8298,306.91,142.08752621388737,46.92334934124,3.8282743738270484
2005-01-03 14:00:00,335.1922,306.47,119.39090332640019,46.91801326236,3.2171234894723493
2005-01-03 14:30:00,268.6716,305.89,95.67489709151964,46.91208724808,2.578394431807112
2005-01-03 15:00:00,203.127,305.17,72.31642157332618,46.905817502599994,1.9491547721294191
2005-01-03 15:30:00,141.124,304.33,50.229758065565704,46.899425711199996,1.354034308977136
2005-01-03 16:00:00,76.9031,303.11,27.363632854289257,46.891790417779994,0.7377565036426855
2005-01-03 16:30:00,24.5881,301.51,8.746186090748754,46.88381272078,0.23584783732927775
2005-01-03 17:00:00,1.376,300.11,0.48934774357086896,46.8782717888,0.013197209307135999
2005-01-03 17:30:00,0.0,298.92,0.0,46.874733,0.0
2005-01-03 18:00:00,0.0,298.05,0.0,46.872209999999995,0.0
2005-01-03 18:30:00,0.0,297.51,0.0,46.870644,0.0
2005-01-03 19:00:00,0.0,296.99,0.0,46.869136,0.0
2005-01-03 19:30:00,0.0,296.48,0.0,46.867656999999994,0.0
2005-01-03 20:00:00,0.0,296.0,0.0,46.866265,0.0
2005-01-03 20:30:00,0.0,295.54,0.0,46.864931,0.0
2005-01-03 21:00:00,0.0,295.12,0.0,46.863713,0.0
2005-01-03 21:30:00,0.0,294.73,0.0,46.862581999999996,0.0
2005-01-03 22:00:00,0.0,294.39,0.0,46.861596,0.0
2005-01-03 22:30:00,0.0,294.1,0.0,46.860755,0.0
2005-01-03 23:00:00,0.0,293.82,0.0,46.859942999999994,0.0
2005-01-03 23:30:00,0.0,293.57,0.0,46.859218,0.0
2005-01-04 00:00:00,0.0,295.06,0.0,46.863538999999996,0.0
2005-01-04 00:30:00,0.0,293.11,0.0,46.857884,0.0
2005-01-04 01:00:00,0.0,292.92,0.0,46.857333,0.0
2005-01-04 01:30:00,0.0,292.76,0.0,46.856868999999996,0.0
2005-01-04 02:00:00,0.0,292.64,0.0,46.856520999999994,0.0
2005-01-04 02:30:00,0.0,292.56,0.0,46.856289,0.0
2005-01-04 03:00:00,0.0,292.56,0.0,46.856289,0.0
2005-01-04 03:30:00,0.0,292.65,0.0,46.85655,0.0
2005-01-04 04:00:00,10.9789,293.52,3.901594534814443,46.85977345382,0.1052635607451973
2005-01-04 04:30:00,53.2182,295.19,18.917868663588308,46.867311321159995,0.5103149290089236
2005-01-04 05:00:00,115.64200000000001,297.02,41.1231360279071,46.8766009596,1.109088546063804
2005-01-04 05:30:00,179.9756,299.02,64.02555256337395,46.886505443279994,1.7264005967685487
2005-01-04 06:00:00,244.9443,300.75,87.16927057404514,46.89566744634,2.3499942394011275
2005-01-04 06:30:00,312.0599,302.22,111.09124957840035,46.904212421619995,2.9943606780895684
2005-01-04 07:00:00,362.0401,303.44,128.91793239769706,46.910939158379996,3.4743639584385875
2005-01-04 07:30:00,410.1402,304.4,146.0793539640627,46.91679194476,3.9363765709452165
2005-01-04 08:00:00,454.09,305.3,161.76731904974037,46.922205942,4.3586146467591
2005-01-04 08:30:00,461.3728,306.16,164.38087973956428,46.925164584639994,4.428754463530378
2005-01-04 09:00:00,525.8392,306.93,187.39607874048087,46.93151054096,5.048147937594822
2005-01-04 09:30:00,551.2299,307.63,196.47285176344414,46.935160467619994,5.292249969155194
2005-01-04 10:00:00,555.5385,308.21,198.02376469180857,46.9371173563,5.333803426929805
2005-01-04 10:30:00,533.8179,308.69,190.28142254257443,46.93712358202,5.125261458386964
2005-01-04 11:00:00,554.7289,309.03,197.75324105783915,46.93944370382,5.326252841893447
2005-01-04 11:30:00,536.7133,309.26,191.32730320708532,46.938961308539994,5.1532306622118655
2005-01-04 12:00:00,514.4516,309.35,183.38311586718223,46.93780201208,4.939383037896168
2005-01-04 12:30:00,479.7703,309.31,171.0048693539277,46.93547334514,4.606206270222383
2005-01-04 13:00:00,431.0787,309.12,153.62762302240014,46.93181582106,4.138453316971031
2005-01-04 13:30:00,391.7482,308.8,139.59219518646756,46.92837853516,3.760639430339235
2005-01-04 14:00:00,332.4278,308.36,118.43093322099925,46.92331789364,3.190895236583341
2005-01-04 14:30:00,264.8539,307.79,94.33491343701866,46.91735367882,2.5419971202697975
2005-01-04 15:00:00,200.4368,307.1,71.37387852851614,46.911242867839995,1.9235277906987365
2005-01-04 15:30:00,140.5275,306.28,50.02848747289909,46.905042654499994,1.3484471970483187
2005-01-04 16:00:00,77.7615,305.12,27.675466436599454,46.8976741837,0.7460702991872047
2005-01-04 16:30:00,25.2844,303.62,8.996044512945463,46.889976144719995,0.24255358114371695
2005-01-04 17:00:00,1.578,302.32,0.5613268017747924,46.8846936764,0.015136337520924
2005-01-04 17:30:00,0.0,301.23,0.0,46.881432,0.0
2005-01-04 18:00:00,0.0,300.44,0.0,46.879141,0.0
2005-01-04 18:30:00,0.0,299.98,0.0,46.877807,0.0
2005-01-04 19:00:00,0.0,299.51,0.0,46.876444,0.0
2005-01-04 19:30:00,0.0,299.05,0.0,46.87511,0.0
2005-01-04 20:00:00,0.0,298.58,0.0,46.873746999999995,0.0
2005-01-04 20:30:00,0.0,298.11,0.0,46.872384,0.0
2005-01-04 21:00:00,0.0,297.63,0.0,46.870991999999994,0.0
2005-01-04 21:30:00,0.0,297.14,0.0,46.869571,0.0
